"","Predictor","Estimate","StdError","PValue","FDR","logFDR"
"AC_3_0_","AC_3_0_",-0.613072558328452,0.801434620249624,0.444290065118241,0.694731538230773,0.158182985322139
"AC_3_1_","AC_3_1_",-1559.64531898552,137368.686729524,0.990941238394035,0.991981159572821,0.00349657620394851
"AC_4_0_","AC_4_0_",0.0312409193914565,0.974594567103509,0.97442795200851,0.991981159572821,0.00349657620394851
"AC_4_0_OH_","AC_4_0_OH_",-1.34476627120901,2.51786640360284,0.593279541770437,0.807878366774817,0.0926540211745742
"AC_5_0_","AC_5_0_",2.14344104424482,2.78414291767225,0.441374254719765,0.694731538230773,0.158182985322139
"AC_5_1_","AC_5_1_",-6.49499943959563,15.4751279440825,0.674700459021202,0.842388021606851,0.0744878172582689
"CE_16_0_","CE_16_0_",0.00808478563357791,0.00918034527166894,0.378500530279709,0.658055639713616,0.181737384503043
"CE_16_1_","CE_16_1_",0.0134577376655228,0.00843196664294569,0.110480349572079,0.302274236429207,0.519598867223267
"CE_17_0_","CE_17_0_",-0.00132670944812963,0.0447803560996494,0.97636449914164,0.991981159572821,0.00349657620394851
"CE_17_1_","CE_17_1_",-0.0143092685625517,0.0699701821060605,0.8379587011913,0.940410220327313,0.0266826596325557
"CE_17_2_","CE_17_2_",0.306025074006611,0.352143459935297,0.384827859481647,0.658055639713616,0.181737384503043
"CE_18_1_","CE_18_1_",0.00131969950266739,0.00171361061706113,0.441223973233261,0.694731538230773,0.158182985322139
"CE_18_2_","CE_18_2_",-0.000121377282505462,0.000434515308780753,0.779984307265933,0.906468374033817,0.042647343495882
"CE_18_3_","CE_18_3_",0.00122331159748924,0.00520781467977538,0.814286956279767,0.931425117630251,0.0308520546777862
"CE_19_2_","CE_19_2_",-0.470877053308653,0.145897251183633,0.00124895964758377,0.0653299956269437,1.18488737088097
"CE_19_3_","CE_19_3_",0.254809482343517,0.144937700897497,0.078736939416767,0.247046176885636,0.607221862561123
"CE_20_4_","CE_20_4_",0.00142684445560535,0.00143478013206384,0.31999455898285,0.607989662067415,0.216103805176683
"CE_20_5_","CE_20_5_",0.00670500602765779,0.00474605015612379,0.157727777508424,0.390890579042615,0.407944796487965
"CE_22_5_","CE_22_5_",-0.00249794604275627,0.0152578063167999,0.869954771691821,0.948958864289241,0.0227526130725965
"CE_22_6_","CE_22_6_",0.00784382941724375,0.00612663429987988,0.200445413354056,0.46371288044009,0.333750840644276
"Cer_34_0_","Cer_34_0_",4.44281617193257,3.80950671289245,0.243515613830852,0.520377954716291,0.283681110165531
"Cer_34_1_","Cer_34_1_",1.46016535587824,4.684950821694,0.755290237226067,0.901205552081082,0.0451761413703665
"Cer_38_1_","Cer_38_1_",3.25288253414619,5.61234001263796,0.562187966991294,0.791227509098858,0.101698621762054
"Cer_40_1_","Cer_40_1_",-0.146925129501331,0.761239606759382,0.846952913208294,0.945904839710143,0.0241525524645269
"Cer_41_1_","Cer_41_1_",0.146414872603042,0.300337568927055,0.62590331685769,0.817018833455458,0.0877679322417486
"Cer_42_1_","Cer_42_1_",0.0245038257953164,0.162194189555246,0.879914906418174,0.953037798118501,0.0208898746095624
"Cer_42_2_","Cer_42_2_",0.209569292019019,0.31813908243786,0.51006606748707,0.751158605130599,0.124268353194961
"Cer_43_1_","Cer_43_1_",-1.13403599881157,0.538941756362624,0.0353618531186275,0.172767910951009,0.762536918055255
"DG_32_1_","DG_32_1_",-0.0513411140353317,0.171486836100999,0.764643958639225,0.901752530533155,0.0449126302737594
"DG_32_2_","DG_32_2_",-0.462556876401871,0.275937942539071,0.0936779526413328,0.281033857923998,0.551241354743443
